n,algorithm,time_ns,alpha,beta,gamma,consistent
100,optimized,30500,9,1,0,1
100,standard,2200,9,1,0,1
100,predictive,2500,9,1,0,1
115,optimized,31500,5,1,2,1
115,standard,2100,5,1,2,1
115,predictive,2600,5,1,2,1
133,optimized,38800,8,1,1,1
133,standard,3100,8,1,1,1
133,predictive,2700,8,1,1,1
153,optimized,38500,11,1,0,1
153,standard,3200,11,1,0,1
153,predictive,3100,11,1,0,1
176,optimized,47300,0,4,3,1
176,standard,5600,0,4,3,1
176,predictive,3000,0,4,3,1
202,optimized,48200,0,3,4,1
202,standard,5800,0,3,4,1
202,predictive,3300,0,3,4,1
233,optimized,49400,4,1,4,1
233,standard,6000,4,1,4,1
233,predictive,3700,4,1,4,1
268,optimized,60000,7,4,1,1
268,standard,5700,7,4,1,1
268,predictive,5000,7,4,1,1
309,optimized,70400,8,1,3,1
309,standard,6500,8,1,3,1
309,predictive,5100,8,1,3,1
356,optimized,87000,5,2,4,1
356,standard,7300,5,2,4,1
356,predictive,4200,5,2,4,1
409,optimized,90300,9,3,2,1
409,standard,7900,9,3,2,1
409,predictive,6000,9,3,2,1
471,optimized,136400,6,7,1,1
471,standard,11700,6,7,1,1
471,predictive,7300,6,7,1,1
543,optimized,158400,4,6,3,1
543,standard,10900,4,6,3,1
543,predictive,6900,4,6,3,1
625,optimized,164800,9,5,2,1
625,standard,10300,9,5,2,1
625,predictive,7100,9,5,2,1
720,optimized,181700,11,3,3,1
720,standard,11000,11,3,3,1
720,predictive,7600,11,3,3,1
829,optimized,254200,16,5,0,1
829,standard,11200,16,5,0,1
829,predictive,8800,16,5,0,1
954,optimized,304800,3,14,0,1
954,standard,14900,3,14,0,1
954,predictive,9500,3,14,0,1
1099,optimized,358200,11,1,6,1
1099,standard,16000,11,1,6,1
1099,predictive,9600,11,1,6,1
1265,optimized,401100,9,9,2,1
1265,standard,17300,9,9,2,1
1265,predictive,12100,9,9,2,1
1456,optimized,437000,4,16,0,1
1456,standard,19200,4,16,0,1
1456,predictive,11800,4,16,0,1
1677,optimized,657700,10,0,9,1
1677,standard,26800,10,0,9,1
1677,predictive,17200,10,0,9,1
1931,optimized,631400,0,0,14,1
1931,standard,40700,0,0,14,1
1931,predictive,14900,0,0,14,1
2223,optimized,721700,10,5,7,1
2223,standard,41700,10,5,7,1
2223,predictive,14000,10,5,7,1
2560,optimized,902600,7,8,7,1
2560,standard,44600,7,8,7,1
2560,predictive,16500,7,8,7,1
2947,optimized,971600,2,5,12,1
2947,standard,49900,2,5,12,1
2947,predictive,17700,2,5,12,1
3393,optimized,1171400,28,3,3,1
3393,standard,54200,28,3,3,1
3393,predictive,18500,28,3,3,1
3907,optimized,1285700,37,3,0,1
3907,standard,67200,37,3,0,1
3907,predictive,18100,37,3,0,1
4498,optimized,1411500,9,22,0,1
4498,standard,76400,9,22,0,1
4498,predictive,21000,9,22,0,1
5179,optimized,1845100,5,23,2,1
5179,standard,80600,5,23,2,1
5179,predictive,21000,5,23,2,1
5964,optimized,1960600,1,27,2,1
5964,standard,86300,1,27,2,1
5964,predictive,24800,1,27,2,1
6866,optimized,2187800,10,17,6,1
6866,standard,97600,10,17,6,1
6866,predictive,24400,10,17,6,1
7906,optimized,2909700,24,1,12,1
7906,standard,110600,24,1,12,1
7906,predictive,27200,24,1,12,1
9103,optimized,3345600,46,2,3,1
9103,standard,151500,46,2,3,1
9103,predictive,37000,46,2,3,1
10481,optimized,3537500,26,12,6,1
10481,standard,144600,26,12,6,1
10481,predictive,30000,26,12,6,1
12068,optimized,4480200,5,11,17,1
12068,standard,161800,5,11,17,1
12068,predictive,35200,5,11,17,1
13895,optimized,5071200,35,16,2,1
13895,standard,182200,35,16,2,1
13895,predictive,44300,35,16,2,1
15999,optimized,6277400,43,13,2,1
15999,standard,203800,43,13,2,1
15999,predictive,50600,43,13,2,1
18421,optimized,7400700,22,24,5,1
18421,standard,226900,22,24,5,1
18421,predictive,56400,22,24,5,1
21210,optimized,8791500,5,15,20,1
21210,standard,261400,5,15,20,1
21210,predictive,61000,5,15,20,1
24421,optimized,10348100,61,4,5,1
24421,standard,308400,61,4,5,1
24421,predictive,67500,61,4,5,1
28118,optimized,13108200,40,8,13,1
28118,standard,354300,40,8,13,1
28118,predictive,74200,40,8,13,1
32375,optimized,14832000,12,18,20,1
32375,standard,411600,12,18,20,1
32375,predictive,81200,12,18,20,1
37276,optimized,18511100,33,6,21,1
37276,standard,439100,33,6,21,1
37276,predictive,98900,33,6,21,1
42919,optimized,21264000,27,39,3,1
42919,standard,528400,27,39,3,1
42919,predictive,103400,27,39,3,1
49417,optimized,25173900,30,2,29,1
49417,standard,574100,30,2,29,1
49417,predictive,113100,30,2,29,1
56899,optimized,31808700,40,12,20,1
56899,standard,662100,40,12,20,1
56899,predictive,128000,40,12,20,1
65513,optimized,36131800,8,34,21,1
65513,standard,783100,8,34,21,1
65513,predictive,123100,8,34,21,1
75431,optimized,45445600,44,3,29,1
75431,standard,876600,44,3,29,1
75431,predictive,128300,44,3,29,1
86851,optimized,55036900,79,27,0,1
86851,standard,1034000,79,27,0,1
86851,predictive,134600,79,27,0,1
100000,optimized,64028700,96,1,13,1
100000,standard,1170800,96,1,13,1
100000,predictive,205800,96,1,13,1
